org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Collins+German+3000+words+and+phrases

	das wesentliche | the essentials
die Babyflasche | baby's bottle | дитяча пляшка
die Wickeltasche | changing bag | сумка для підгузників
das Wattestäbchen | cotton bud | ватний тампон
die Watte | cotton wool | вата
die Formel | formula milk | молочна формула
die Windel | nappy | підгузник
die Windelcreme | nappy cream | крем під підгузник
der Zwieback | rusk | сухарі
der Körperpuder | talcum powder | пудра для тіла
die Feuchttücher; ntpl | wet wipes | вологі серветки

die Babywanne | baby bath | дитяча ванночка
die Babyschale | baby seat | дитяче крісло
das Lauflerngerät | baby walker | дитячі ходунки
das Kinderbett | cot | ліжечко
der Schnuller | dummy | пустушка
der Hochstuhl | highchair | високий стілець
das Mobile | mobile | мобільний
der Moseskorb | Moses basket | кошик Мойсея
der Kinderwagen | pram | коляска
der Sportwagen | pushchair | коляска
der Beißring | teething ring | зубне кільце
das Reisebett | travel cot | дитяче ліжечко

		der zeitungsladen | newsagent
der zeitungsladen | newsagent | газетний кіоск

die großformatige Zeitung | broadsheet | газета великого формату
der Kiosk | kiosk | кіоск
die Schreibwaren; fpl | stationery | письмове приладдя
die Boulevardzeitung | tabloid | таблоїд
der Tabakwarenladen | tobacconist | тютюновий магазин
der Verkäufer | vendor | продавець
die Verkäuferin | vendor | продавець
täglich | daily | щодня
wöchentlich | weekly | щотижня

das Buch | book | книга
die Zigarre | cigar | сигара
die Zigarette | cigarette | сигарета
das Comicheft | comic book | комікс
die Süßigkeiten; fpl | confectionery | кондитерські вироби
der Briefumschlag | envelope | конверт
die Grußkarte | greetings card | вітальна листівка
die Zeitschrift | magazine | журнал
die Landkarte | map | карта
die Zeitung | newspaper | газета
das Notizbuch | notebook | зошит
der Kugelschreiber | pen | кулькова ручка
der Bleistift | pencil | олівець
die Postkarte | postcard | листівка
das Rätselbuch | puzzle book | книга-головоломка
das Rubbellos | scratch card | скретч-картка
die Briefmarke | stamp | штамп
der Tabak | tobacco | тютюн

		das kaufhaus | department store
das kaufhaus | department store | універмаг

die Marke | brand | марка
die Theke | counter | прилавок
die Rolltreppe | escalator | ескалатор
der Fahrstuhl | lift | ліфт
die Toilette | toilets | туалет
die Etage | floor | поверх
die Abteilung | department | відділ
die Herrenbekleidung | menswear | чоловічий одяг
die Damenbekleidung | womenswear | жіночий одяг
die Sportkleidung | sportswear | спортивний одяг
die Badebekleidung | swimwear | купальники
der Ausverkauf | sale | продаж
verkauft werden | to be on sale | бути у продажу
im (Sonder)angebot sein | to be in the sale | бути на (спеціальній) пропозиції
die Modeaccessoires; ntpl | accessories | модні аксесуари
die Kosmetika | cosmetics | косметика
die Mode | fashion | мода
die Lebensmittel; ntpl | food and drink | їжа та напої
die Schuhe; mpl | footwear | взуття
die Möbel; ntpl | furniture | меблі
die Küchengeräte; ntpl | kitchenware | кухонна техніка
die Lederwaren; fpl | leather goods | вироби зі шкіри
die Beleuchtung | lighting | освітлення
die Damenwäsche | lingerie | жіноча білизна
die Wohntextilien; fpl | soft furnishings | домашній текстиль
das Spielzeug | toys | іграшки

		kleidung und schuhe | clothing and footwear
kleidung und schuhe | clothing and footwear | одяг і взуття

die Umkleidekabine | fitting room | роздягальня
die Kleidung | clothes / clothing | одяг
die Schuhe; mpl | shoes / footwear | взуття
die Unterwäsche | underwear | нижня білизна
der (Regen)schirm | umbrella | парасолька
der Schmuck | jewellery | ювелірні вироби
das Parfüm | scent | парфуми
lässig | casual | повсякденний
schick | smart | шик
die Wolle | wool | шерсть
die Baumwolle | cotton | бавовна
das Leder | leather | шкіра
die Seide | silk | шовк
die Größe | size | розмір
kleine Größe | petite | маленький розмір
Übergrößen- | plus-size | оверсайз
anprobieren | to try on | спробувати
passen | to fit | підходити

der Bikini | bikini | бікіні
die Bluse | blouse | блузка
die Boxershorts; pl | boxer shorts | шорти-боксери
der Büstenhalter | bra | бюстгальтер
die Strickjacke | cardigan | кардиган
der Mantel | coat | пальто
das Kleid | dress | плаття
der Bademantel | dressing gown | халат
die Latzhose | dungarees | комбінезон
die Jacke | jacket | жакет
die Jeans; pl | jeans | джинси
die Jogginghose | jogging bottoms | бігові штани
der Pullover | jumper | светр
die Leggings; pl | leggings | легінси
die Unterhose | pants | труси
der Schlafanzug | pyjamas | піжама
das Hemd | shirt | сорочка
die Shorts; pl | shorts | шорти
der Rock | skirt | спідниця
die Socken; fpl | socks | шкарпетки
das Kostüm | suit | костюм
das Sweatshirt | sweatshirt | бавовняний спортивний светр
der Badeanzug | swimsuit | купальник
der Dreiteiler | three-piece suit | костюм-трійка
die Krawatte | tie | краватка
die Strumpfhose | tights | колготки
die Hose | trousers | штани
das T-Shirt | T-shirt | футболка
die Weste | waistcoat | жилет
die Regenjacke | waterproof jacket | плащ

die Baseballmütze | baseball cap | бейсболка
der Gürtel | belt | пояс
das Armband | bracelet | браслет
die Hosenträger; mpl | braces | підтяжки
die Ohrringe; mpl | earrings | сережки
die Handschuhe; mpl | gloves | рукавички
die Handtasche | handbag | сумочка
die Halskette | necklace | намисто
der Geldbeutel | purse | гаманець
der Schal | scarf | шарф
die Brieftasche | wallet | гаманець
die Wollmütze | woolly hat | вовняна шапка

die Stiefel; mpl | boots | чоботи
die Pumps; mpl | court shoes | судове взуття
die Stöckelschuhe; mpl | high heels | високі підбори
die Schnürschuhe; mpl | lace-up shoes | взуття на шнурівці
die Strandschuhe; mpl | plimsolls | пляжне взуття
die Sandalen; fpl | sandals | босоніжки
die Pantoffeln; fpl | slippers | тапочки
die Sportschuhe; mpl | trainers | спортивне взуття
die Gummistiefel; mpl | Wellington boots | гумові чоботи

		der baumarkt | diy store
der baumarkt | diy store | будівельний магазин

die Elektrizität | electricity | електрика
die Tischlerei | joinery | столярні вироби
das Heimwerken, das DIY | home improvements | своїми руками
das Streichen | painting | картина
das Tapezieren | decorating | прикраси
die Klempnerarbeiten; fpl | plumbing | сантехніка
das Werkzeug | tool | інструмент
das Elektrowerkzeug | power tool | електроінструмент
der Werkzeugkasten | toolbox | ящик для інструментів
heimwerken | to do DIY | своїми руками
der Meißel | chisel | долото
die Bohrmaschine | electric drill | дриль
der Hammer | hammer | молоток
die Nägel; mpl | nails | цвяхи
die Muttern und Bolzen; pl | nuts and bolts | гайки і болти
die Farbe | paint | фарба
der Pinsel | paintbrush | кисть
der Farbroller | paint roller | малярний валик
die Zange | pliers | плоскогубці
die Säge | saw | пила
der Schraubenzieher | screwdriver | викрутка
die Schrauben; fpl | screws | гвинти
der Schraubenschlüssel | spanner | гайковий ключ
die Wasserwaage | spirit level | рівень
die Trittleiter | stepladder | драбинка
die Fliesen; fpl | tiles | плитка
die Tapete | wallpaper | шпалери
der Schraubenschlüssel | wrench | гайковий ключ

		andere läden | other shops
andere läden | other shops | інші магазини
die Antiquitätenhandlung | antique shop | антикварний магазин
der Herrenfriseur | barber's | перукар
der Kosmetiksalon | beauty salon | салон краси
der Buchmacher | bookmaker's | букмекерська контора
der Buchladen | bookshop | книгарня
die Boutique | boutique | бутик
das Autohaus | car showroom | автосалон
der Elektrofachmarkt | electrical retailer | магазин електроніки
das Immobilienbüro | estate agency | офіс нерухомості
der Blumenladen | florist's | квітковий магазин
der Möbelmarkt | furniture store | ринок меблів
das Gartencenter | garden centre | садовий центр
der Frisör | hairdresser's | перукар
das Reformhaus | health food shop | магазин здорової їжі
das Juweliergeschäft | jeweller's | ювелірні вироби
der Musikladen | music shop | музичний магазин
die Wein- und Spirituosen-handlung | off-licence | магазин вина та спиртних напоїв
der Optiker | optician's | оптика
die Tierhandlung | pet shop | зоомагазин
der Handy-Shop | phone shop | магазин мобільних телефонів
das Schuhgeschäft | shoe shop | взуттєвий магазин
das Shoppingcenter | shopping mall | торговий центр
das Spielwarengeschäft | toyshop | магазин іграшок
das Reisebüro | travel agency | туристичне агентство

	der alltag | day-to-day
der alltag | day-to-day | повсякденний

der Milchkaffee | coffee with milk | кава з молоком
die Tasse | cup | чашка
der Henkel | handle | ручка
die Untertasse | saucer | блюдце

		das wesentliche | the basics
aufwachen | to wake up | прокидатися
sich anziehen | to get dressed | одягатися
ankommen | to arrive | прибути
weggehen | to leave | йди геть
studieren | to study | вивчати
arbeiten | to work | працювати
sich mit Freunden treffen | to meet friends | зустрітися з друзями
nach Hause gehen | to go home | йди додому
ins Bett gehen | to go to bed | лягати спати

		das frühstück | breakfast
das frühstück | breakfast | сніданок

die Frühstückstheke | breakfast bar | бар для сніданку
das Butterbrot | bread and butter | хліб з маслом
das Marmeladenbrot | bread and jam | хліб з варенням
der Quark | quark | кварк
die Spiegeleier; ntpl | fried eggs | смажені яйця
die verlorene Eier; ntpl | poached eggs | варені яйця
aufstreichen | to spread | поширювати на; розмазувати
frühstücken | to have breakfast | снідати
das Frühstück überspringen | to skip breakfast | пропустити сніданок
die gekochten Eier; ntpl | boiled eggs | варені яйця
die Brötchen; ntpl | bread rolls | булочки
die Frühstückscerealien; pl | cereal | сухі сніданки
der Kaffee | coffee | кава
der Milchkaffee | coffee with milk | кава з молоком
die Wurst und der Käse | cold meats and cheese | ковбаса і сир
das Croissant | croissant | круасан
der Honig | honey | мед
der Kakao | hot chocolate | какао
die Marmelade | jam | варення
der Orangensaft | orange juice | апельсиновий сік
das Roggenbrot | rye bread | житній хліб
das Müsli | muesli | крупа
die Rühreier; ntpl | scrambled eggs | яєчня
der Tee | tea | чай

		die hauptmahlzeiten | main meals
die hauptmahlzeiten | main meals | основні страви

das Essen | food | їжа
das Getränk | drink | напій
das Mittagessen | lunch | обід
das Abendessen | dinner | вечеря
die Gänge; mpl | courses | страви
das Rezept | recipe | рецепт
der Aperitif | aperitif | аперитив
der Digestif | after-dinner drink | дижестив
essen | to eat| їсти
trinken | to drink | пити
zu Mittag essen | to have lunch | обідати
speisen | to have dinner | вечеряти
zum Essen ausgehen | to eat out | їсти не вдома

der Spargel mit Schinken | asparagus wrapped in ham | спаржа з ​​шинкою
der Aufschnitt | cold meats | нарізки
der grüne Salat | green salad | зелений салат
der gemischte Salat | mixed salad | змішаний салат
das Omelett | omelette | омлет
der Zwiebelkuchen | onion tart | цибульний пиріг
die Pastete | pâté | пиріг
der Räucherlachs | smoked salmon | копчений лосось
die Suppe | soup | суп

die Pommes; ntpl | chips | картопля фрі
der Gurkensalat | cucumber salad | салат з огірків
die Bratkartoffeln; ntpl | fried potatoes | смажена картопля
die Klöße; mpl | German dumplings | пельмені
der Auflauf | gratin | запіканка
der Kartoffelbrei | mash | картопляне пюре
die Nudeln; fpl | noodles | локшина
die Nudeln; fpl | pasta | макарони
die Kartoffeln; fpl | potatoes | картопля
die Kartoffelpuffer; mpl | potato fritters | деруни
der Reis | rice | рис
das Gemüse | vegetables | овочі

die Rinderrouladen; fpl | beef olives | яловичі рулетики
das Hühnerfrikassee | chicken fricassee | фрикасе з курки
der Brathering | fried and marinated herring | смажений оселедець
das Kassler mit Sauerkraut | gammon with sauerkraut | окіст з квашеною капустою
die Gulaschsuppe | goulash soup | суп-гуляш
die Frikadellen; fpl | meatballs | фрикадельки
die Fritattensuppe | pancake soup | смажений суп
die Erbsensuppe | pea soup | гороховий суп
das Eisbein auf Sauerkraut | pork knuckle with sauerkraut | свиняча рулька з квашеною капустою
der Sauerbraten | pot roast | печеня в горщику
die Maultaschen; fpl | ravioli | равіолі
die Kohlrouladen; fpl | stuffed cabbage leaves | голубці
das Schnitzel | schnitzel | шніцель

der Apfelstrudel | apple strudel | яблучний штрудель
der Apfelkuchen | apple tart | яблучний пиріг
der Pudding | blancmange | пудинг
der Schokoladenkuchen | chocolate cake | шоколадний торт
die Obsttorte | fruit tart | фруктовий торт
das Eis | ice cream | морозиво
die rote Grütze | red fruit compote | компот з червоних фруктів; желе з червоних фруктів
der Kaiserschmarrn | shredded pancake | Кайзершмаррн
die Weinschaumcreme | syllabub | винна піна крем

		auswärts essen | eating out
auswärts essen | eating out | їсти на свіжому повітрі

die Tageskarte | set menu | меню дня
die Tagesgerichte; ntpl | daily specials | щоденні пропозиції
die Bedienung | service charge | сервіс
das Trinkgeld | tip | чайові
der Weinkellner | wine waiter | винний офіціант
die Weinkellnerin | wine waiter | винний офіціант
der Barkeeper | barman / barmaid | бармен
die Bardame | barman / barmaid | бармен
vegetarisch | vegetarian | вегетаріанський
veganisch | vegan | веганський
glutenfrei | gluten-free | не містить глютену
milchfrei | dairy-free | немолочні
einen Tisch reservieren | to reserve a table | забронювати столик
bestellen | to order | замовити
die Rechnung verlangen | to ask for the bill | попросити рахунок
bedient werden | to be served | обслуговуватися
die Bar | bar | бар
die Rechnung | bill | рахунок
der Brotkorb | bread basket | хлібний кошик
der Stuhl | chair | стілець
das Sektglas | champagne flute | келих для шампанського
das Käsemesser | cheese knife | ніж для сиру
das Fischmesser | fish knife | рибний ніж
der Krug Wasser | jug of water | глечик з водою
die Speisekarte | menu | меню
die Serviette | napkin | серветка
das Salz und der Pfeffer | salt and pepper | сіль і перець
das Steakmesser | steak knife | ніж для стейка
der Tisch | table | стіл
die Tischdecke | tablecloth | скатертина
die Zahnstocher; mpl | toothpicks | зубочистки
der Essig und das Öl | vinegar and oil | оцет і олія
der Kellner | waiter / waitress | офіціант
die Kellnerin | waiter / waitress | офіціант
das Weinglas | wine glass | келих для вина

		das fastfood | fast food
das fastfood | fast food | фастфуд
die Fastfood-Kette | fast-food chain | мережа швидкого харчування
der Schnellimbiss | food stall | заклад швидкого харчування
das Streetfood | street food | вулична їжа
der Verkäufer | vendor | продавець
die Verkäuferin | vendor | продавець
das Drive-In | drive-thru | автокафе
zum Mitnehmen | an order to go / a takeaway | забрати з собою
die Lieferkosten; pl | delivery charge | вартість доставки
der Lieferant | delivery man / woman | кур'єр
die Lieferantin | delivery man / woman | кур'єр
eine Bestellung telefonisch aufgeben | to phone in an order | зробити замовлення по телефону
bestellen | to place an order | замовити
die Bestellung abholen | to collect an order | забрати замовлення
die gefüllte Kartoffel | baked potato | фарширована картопля
die Bratwurst | bratwurst | ковбаса
der Hamburger | burger | гамбургер
die Pommes frites; ntpl | fries | картопля фрі
der Kebab | kebab | кебаб
das Omelett | omelette | омлет
die Pizza | pizza | піца
die Brezel | pretzel | крендель
das Sandwich | sandwich | бутерброд
die Currywurst | sausage with curry sauce | ковбаса з соусом каррі
die Sushis; ntpl | sushi | суші
der Wrap | wrap | обгортка

		die kommunikation und die informationstechnologie | communication and IT
die kommunikation und die informationstechnologie | communication and IT | комунікаційно-інформаційні технології

der Beitrag | post | пост
die sozialen Netzwerke; ntpl | social media | соціальні мережі
die E-Mail | email | електронна пошта
die E-Mail-Adresse | email address | адреса електронної пошти
der Link | link | посилання
das Internet | internet | інтернет
das WLAN | WiFi | WiFi
die Website | website | веб-сайт
das Icon | icon | значок
die Maus | mouse | миша
das Mauspad | mouse mat | килимок для миші
die Tastatur | keyboard | клавіатура
die App | app | додаток
die Daten; ntpl | data | дані
das Handy | mobile phone | телефон
das Festnetz | landline | стаціонарний телефон
der Anruf | phone call | телефонний дзвінок
die SMS | text message | текстове повідомлення
das Handy-Signal | phone signal | сигнал мобільного телефону
die Voicemail | voice mail | голосова пошта
der Touchscreen | touchscreen | сенсорний екран
der Bildschirm | monitor | екран
die Taste | button | кнопка
der Akku | battery | акумулятор
das Kabel | cable | кабель
anrufen | to make a phone call | подзвонити
eine SMS / E-Mail schicken | to send a text / an email | відправити SMS / електронну пошту
posten | to post (online) | опублікувати
herunterladen | to download| скачати
hochladen | to upload | завантажити
anklicken | to click on | натиснути
das Handy aufladen | to charge your phone | зарядити мобільний
einschalten | to switch on | увімкнути
ausschalten | to switch off | вимкнути
das Ladegerät | charger | зарядний пристрій
der Computer | computer | комп'ютер
die SIM-Karte | SIM card | SIM-картка
das Smartphone | smartphone | смартфон
das Tablet | tablet | планшет
der WLAN-Router | wireless router | роутер WiFi

		die bildung | education
die bildung | education | освіта

die Vorschule | nursery school | дошкільний заклад
die Grundschule | primary school | початкова школа
die Realschule | secondary school | середня школа
die Hochschule | college | коледж
die Universität | university | університет
der Schulleiter | headteacher | директор
die Schulleiterin | headteacher | директор
der Lehrer | teacher | учитель
die Lehrerin | teacher | учитель
der Schüler | pupil | студент
die Schülerin | pupil | студент
der Hausmeister | janitor | прибиральник
die Hausmeisterin | janitor | прибиральник
das Klassenzimmer | classroom | клас
der Stundenplan | timetable | розклад
die Unterrichtsstunde | lesson | урок
der Vortrag | lecture | лекція
das Tutorial | tutorial | підручник
die Hausaufgaben; fpl | homework | домашня робота
die Aufgabe | assignment | завдання
die Prüfung | exam | екзамен
der Abschluss | degree | диплом; ступінь
der Student | undergraduate | студент
die Studentin | undergraduate | студент
der Graduierte | postgraduate | випускник
die Graduierte | postgraduate | випускник
die Kantine | canteen | їдальня
die Aula | assembly hall | аудиторія
das Spielfeld | playing field | ігровий майданчик
der Schulhof | playground | шкільне подвір'я
die Studentenwohnheime; ntpl | halls of residence | студентські гуртожитки
das Studentenwerk | student union | студентська спілка
der Studentenausweis | student card | студентський квиток
lernen | to learn | вчити
lesen | to read | читати
schreiben | to write | писати
lehren | to teach | навчати
überarbeiten | to revise | повторювати
eine Prüfung ablegen | to sit an exam | здавати екзамен
den Abschluss machen | to graduate | закінчити
studieren | to study | вчити

die Farbstifte; mpl | colouring pencils | кольорові олівці
der Radierer | eraser | гумка
das Heft | exercise book | журнал
das Papier | paper | папір
der Kugelschreiber | pen | кулькова ручка
der Bleistift | pencil | олівець
die Federmappe | pencil case | пенал
das Lineal | ruler | лінійка
die Schultasche | schoolbag | портфель
der Anspitzer | sharpener | точилка
das Lehrbuch | textbook | підручник
die Weißwandtafel | whiteboard | біла дошка

die Cafeteria | cafeteria | кафетерій
der Campus | campus | кампус
der Hörsaal | lecture hall | лекційна зала
der Dozent | lecturer | викладач
die Dozentin | lecturer | викладач
die Bibliothek | library | бібліотека
der Student | student | студент
die Studentin | student | студент

		im büro | the office
im büro | the office | в офісі

der Chef | manager | керівник
die Chefin | manager | керівник
die Mitarbeiter; mpl | staff | співробітники
der Kunde | client | клієнт
die Kundin | client | клієнт
der Lieferant | supplier | постачальник
die Lieferantin | supplier | постачальник
der Kollege | colleague | колега
die Kollegin | colleague | колега
die Personalabteilung | human resources | людські ресурси
die Buchhaltung | accounts | бухгалтерський облік
die Zahlen; fpl | figures | цифри
die Tabellenkalkulation | spreadsheet | електронна таблиця
der Vortrag | presentation | презентація
der Bericht | report | звіт
die Sitzung | meeting | зустріч
das Konferenzgespräch | conference call | конференц-дзвінок
die Videokonferenz | video conference | відеоконференція
die Tintenpatrone | ink cartridge | чорнильний картридж
der Posteingang | inbox | вхідні
die Datei | file | файл
der Anhang | attachment | вкладення
das Upgrade | upgrade | оновлення
der Benutzername | username | ім'я користувача
das Passwort | password | пароль
Maschine schreiben | to type | набирати текст
einloggen | to log on | увійти
ausloggen | to log off | вийти
einen Vortrag halten | to give a presentation | виступити з презентацією
eine Sitzung einberufen | to hold a meeting | скликати зустріч
der Taschenrechner | calculator | калькулятор
der Schreibtisch | desk | стіл
die Schreibtischlampe | desk lamp | настільна лампа
der Aktenschrank | filing cabinet | шафа для документів
die Mappe | folder | папка
der Locher | hole punch | дірокол
die Ablage für Eingänge / Ausgänge | in / out tray | лоток для входів / виходів
der Laptop | laptop | ноутбук
der Notizblock | notepad | блокнот
die Heftklammer | paper clip | скоба
das Fotokopiergerät | photocopier | ксерокс
der Drucker | printer | принтер
das Ringbuch | ring binder | папка-кільце
der Scanner | scanner | сканер
die Schere | scissors | ножиці
der Hefter | stapler | файл
die Post-it-Notizen; fpl | sticky notes | наклейки
das Klebeband | sticky tape | стрічка
der Drehstuhl | swivel chair | поворотне крісло
das Telefon | telephone | телефон
der USB-Stick | USB stick | USB-накопичувач

		auf der bank | the bank
auf der bank | the bank | банк

die Zweigstelle | branch | відділення
der Kassierer | cashier | касир
die Kassierin | cashier | касир
das Online-Banking | online banking | онлайн-банкінг
das Bankkonto | bank account | банківський рахунок
das Girokonto | current account | поточний рахунок
das Sparkonto | savings account | ощадний рахунок
die Kontonummer | account number | номер рахунку
der Kontoauszug | bank statement | виписка з рахунку
der Kontostand | bank balance | баланс рахунку
die Kontoüberziehung | overdraft | овердрафт рахунку
die Überweisung | bank transfer | банківський переказ
das Scheckheft | chequebook | чекова книжка
die Währung | currency | валюта
das Darlehen | loan | кредит
die Hypothek | mortgage | іпотека
die Zinsen; pl | interest | процентні ставки
einen Kredit aufnehmen | to borrow | взяти кредит
zurückzahlen | to repay | погасити
abheben | to withdraw | зняти
Geld einzahlen | to make a deposit | зробити депозит
Geld wechseln | to change money | міняти гроші
der Geldautomat | ATM | банкомат
die Banknoten; fpl | banknotes | банкноти
die Wechselstube | bureau de change | обмінний пункт
die Bankkarte / Kreditkarte | debit / credit card | банківська карта / кредитна картка
der Wechselkurs | exchange rate | обмінний курс
der Safe | safety deposit box | сейф

		auf der post | the post office
auf der post | the post office | на пошті

die Adresse | address | адреса
das Postfahrzeug | postal van | поштовий транспортний засіб
der Kurier | courier | кур'єр
die Post | mail | пошта
die Luftpost | airmail | авіапошта
prioritär | first-class | пріоритет
Standard | second-class | за замовчуванням
einwerfen | to post | кидати
schicken | to send | відправити
Post bekommen | to receive mail | отримувати пошту
ein Paket zurückschicken | to return a package | відправити пакет назад
die Schachtel | box | коробка
der Briefumschlag | envelope | конверт
der Brief | letter | лист
das Paket | package | пакунок
die Luftpolstertasche | padded envelope | бульбашковий мішок
der Postangestellte | postal worker | поштовий працівник
die Postangestellte | postal worker | поштовий працівник
der Briefkasten | postbox | поштова скринька
die Postkarte | postcard | листівка
die Briefmarke | stamp | штамп

		in der stadt | in town
in der stadt | in town | в місті

das Café | café | кафе
die Kathedrale | cathedral | собор
die Kirche | church | церква
das Kongresszentrum | conference centre | конференц-центр
das Gerichtsgebäude | courthouse | будівля суду
die Feuerwache | fire station | пожежна частина
der Springbrunnen | fountain | фонтан
das Krankenhaus | hospital | лікарня
das Hotel | hotel | готель
der Waschsalon | laundrette | пральня
die Bibliothek | library | бібліотека
die Moschee | mosque | мечеть
das Bürogebäude | office block | офісна будівля
der Park | park | парк
der Spielplatz | playground | дитячий майданчик
die Polizeiwache | police station | поліцейська дільниця
die Synagoge | synagogue | синагога
das Rathaus | town hall | ратуша

	in der freizeit | leisure
in der freizeit | leisure | у вільний час

das Zelt | tent | намет
das Überzelt | flysheet | дощовик
der Zeltboden | groundsheet | підлога намету
die Zeltleine | guy rope | наметова мотузка
der Zeltpflock | tent peg | кілок для намету

		das wesentliche | the basics

der Urlaub | holiday | канікули
die Freizeit | spare time | вільний час
die Aktivität | activity | діяльність
das Hobby | hobby / pastime | хобі
sich für etwas interessierien | to be interested in something | цікавитися чимось
etwas gern tun | to be keen on doing something | подобається щось робити
die Zeit vertreiben | to pass the time | провести час
sich entspannen | to relax | відпочивати
genießen | to enjoy | насолоджуватися
sich langweilen | to be bored | нудьгувати
das Kochen | cooking | приготування їжі
das Heimwerken | DIY | своїми руками
Videospiele spielen | gaming | грати в відео-ігри
die Gartenarbeit | gardening | садівництво
das Jogging | jogging | пробіжка
Musik hören | listening to music | слухати музику
das Lesen | reading | читання
das Einkaufen | shopping | покупки
der Sport | sports | спорт
das Reisen | travelling | подорожі
das Laufen | walking | біг
fernsehen / Filme sehen | watching TV / films | дивитися телевізор / фільми

		besichtigungen | sightseeing
besichtigungen | sightseeing | огляд пам'яток
der Tourist | tourist | турист
die Touristin | tourist | турист
die Touristenattraktion | tourist attraction | туристична привабливість
der Ausflug | excursion | екскурсія
das Naturschutzgebiet | nature reserve | природний заповідник
die historische Stätte | historic site | історичне місце
die Rundfahrt | guided tour | тур
der Audioguide | audio guide | аудіогід
besichtigen | to visit | відвідати
sehen | to see | побачити
buchen | to book | забронювати
die Kunstgalerie | art gallery | художня галерея
die Kamera | camera | камера
das Schloss | castle | замок
die Kathedrale | cathedral | собор
der Stadtplan | city map | карта міста
der Garten | gardens | сад
der Reiseführer | guidebook | путівник
das Denkmal | monument | пам'ятник
das Museum | museum | музей
der Sightseeing-Bus | sightseeing bus | екскурсійний автобус
der Reiseführer | tour guide | гід
die Reiseführerin | tour guide | гід
das Fremdenverkehrsbüro | tourist office | туристичний офіс

		ausgehen | evenings out
ausgehen | evenings out | виходити
ein Glas | a drink | напій
das Nachtleben | nightlife | нічне життя
die Party | party | вечірка
die Vorführung | show | шоу
das (Theater)stück | play | вистава
der Film | film | фільм
die Festspiele | festival | фестиваль
die Kasse | box office | касовий апарат
Kontakte knüpfen | to socialize | спілкуватися
zu essen / zu trinken bestellen | to order food / drinks | замовити їжу / напої
sich eine Vorführung ansehen | to see a show | подивитися шоу
sich einen Film ansehen | to watch a film | дивитися фільм
tanzen gehen | to go dancing | іди танцювати
sich amüsieren | to enjoy oneself | насолоджуватися
das Ballett | ballet | балет
die Bar | bar | бар
der Karneval | carnival | карнавал
das Kasino | casino | казино
das Kino | cinema | кіно
die Comedy-Show | comedy show | комедійне шоу
das Konzert | concert | концерт
der Jahrmarkt | funfair | ярмарок
das Musical | musical | мюзикл
der Nachtclub | nightclub | нічний клуб
die Oper | opera | опера
das Restaurant | restaurant | ресторан
das Theater | theatre | театр

		im hotel | hotel
im hotel | hotel | в готелі

die Frühstückspension | bed and breakfast | ліжко та сніданок
die Vollpension | full board | повний пансіон
die Halbpension | half board | напівпансіон
Zimmer frei | "vacancies" | вільні кімнати
der Zimmerservice | room service | обслуговування номерів
der Weckruf | wake-up call | дзвінок для пробудження
die Zimmernummer | room number | номер кімнати
pro Person pro Nacht | per person per night | з особи за ніч
einchecken | to check in | зареєструватися
abreisen | to check out | виписуватись
Zimmerservice bestellen | to order room service | замовити обслуговування номерів
der Korridor | corridor | коридор
das "Bitte nicht stören"-Schild | "do not disturb" sign | знак «Не турбувати».
das Doppelzimmer | double room | двомісний номер
die Schlüsselkarte | key card | ключ картка
die Minibar | minibar | міні-бар
der Gepäckträger | porter | носильник
die Gepäckträgerin | porter | носильник
der Empfangsbereich | reception | приймальня
der Empfangschef | receptionist | реєстратор
die Empfangschefin | receptionist | реєстратор
der Tresor | safe | сейф
das Einzelzimmer | single room | одномісний номер
die Toilettenartikel; mpl | toiletries | туалетні приналежності
das Zweibettzimmer | twin room | кімната з двома односпальними ліжками

		campen | camping
campen | camping | кемпінг

der Campingplatz | campsite | кемпінг
der Platz | pitch | місце
der Stromanschluss | electricity hook-up | підключення живлення
der Sanitärblock | toilet / shower block | санблок
der Camper | camper | кемпер
die Camperin | camper | кемпер
Zelten verboten | "no camping" | без кемпінгу
zelten | to camp | кемпінг
ein Zelt aufschlagen / abbrechen | to pitch / take down a tent | поставити / зібрати намет
die Luftmatratze | air bed | надувний матрац
der Grill | barbecue | гриль
der Campingkocher | camping stove | похідна піч
der Wohnwagen | caravan | караван
die Kühlbox | cool box | охолоджувальний ящик
der Campingstuhl | fold-up chair | кемпінгове крісло
die Streichhölzer; ntpl | matches | сірники
der Camper | motorhome | кемпер
die Picknick-Decke | picnic blanket | ковдра для пікніка
der Schlafsack | sleeping bag | спальний мішок
das Zelt | tent | намет
die Taschenlampe | torch | ліхтарик

		am strand | the beach
am strand | the beach | на пляжі

Baden verboten. | "No swimming." | Купання заборонено
das Badegebiet | bathing zone | зона купання
die Sonnenbräune | suntan | засмага
in der Sonne liegen | to sunbathe | засмагати
schwimmen | to swim | плавати

der Sand | sand | пісок
das Meer | sea | море
die Wellen; fpl | waves | хвилі
der Sonnenschirm | parasol | парасолька
die Sonnenliege | sunbed | шезлонг
das Strandtuch | beach towel | пляжний рушник

der Wasserball | beach ball | водне поло
das Strandhäuschen | beach hut | будинок на пляжі
